|	To	|	Weight	|	Path
|	357	|	-101	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 357]
|	358	|	-98	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 311, 358]
|	359	|	-100	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 359]
|	360	|	-96	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 360]
|	361	|	-100	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 302, 361]
|	362	|	-102	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 314, 362]
|	363	|	-103	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 315, 363]
|	364	|	-99	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 315, 364]
|	365	|	-103	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 365]
|	366	|	-102	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 339, 366]
|	367	|	-100	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 367]
|	368	|	-99	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294, 325, 368]
|	369	|	-97	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 345, 369]
|	370	|	-98	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 279, 321, 370]
|	371	|	-100	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 324, 371]
|	372	|	-98	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 345, 372]
|	373	|	-107	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 349, 356, 373]
|	374	|	-108	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 365, 374]
|	375	|	-108	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 359, 375]
|	376	|	-112	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 365, 376]
|	377	|	-106	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 274, 294, 325, 368, 377]
|	378	|	-111	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 349, 350, 378]
|	379	|	-110	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 367, 379]
|	380	|	-102	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 332, 380]
|	381	|	-110	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 315, 363, 381]
|	382	|	-103	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 339, 366, 382]
|	383	|	-102	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 315, 364, 383]
|	384	|	-107	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 359, 384]
|	385	|	-110	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 302, 361, 385]
|	386	|	-100	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 278, 288, 330, 386]
|	387	|	-111	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 349, 350, 387]
|	388	|	-108	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 367, 388]
|	389	|	-112	|	[0, 71, 89, 116, 121, 159, 215, 229, 258, 269, 281, 315, 363, 389]
|	390	|	-108	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 324, 371, 390]
|	391	|	-107	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 314, 362, 391]
|	392	|	-107	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 324, 371, 392]
|	393	|	-112	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 339, 366, 393]
|	394	|	-107	|	[0, 71, 89, 115, 126, 170, 208, 230, 260, 272, 279, 321, 370, 394]
|	395	|	-108	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 339, 366, 395]
|	396	|	-110	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 357, 396]
|	397	|	-107	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 351, 397]
